tier,node_name,parent,PSI_attribute,year,week_no,lot_id
0,supply_point,root,0,2025,37,SHA_I202613001
0,supply_point,root,0,2025,37,SHA_I202613002
0,supply_point,root,0,2025,37,SHA_N202614001
0,supply_point,root,0,2025,37,SHA_N202614002
0,supply_point,root,0,2025,37,SHA_D202614001
0,supply_point,root,0,2025,38,SHA_D202614002
0,supply_point,root,0,2025,38,SHA_I202614001
0,supply_point,root,0,2025,38,SHA_I202614002
0,supply_point,root,0,2025,38,SHA_N202615001
0,supply_point,root,0,2025,38,SHA_N202615002
0,supply_point,root,0,2025,38,SHA_D202615001
0,supply_point,root,0,2025,39,SHA_D202615002
0,supply_point,root,0,2025,39,SHA_I202615001
0,supply_point,root,0,2025,39,SHA_I202615002
0,supply_point,root,0,2025,39,SHA_N202616001
0,supply_point,root,0,2025,39,SHA_N202616002
0,supply_point,root,0,2025,39,SHA_D202616001
0,supply_point,root,0,2025,40,SHA_D202616002
0,supply_point,root,0,2025,40,SHA_I202616001
0,supply_point,root,0,2025,40,SHA_I202616002
0,supply_point,root,0,2025,40,SHA_N202617001
0,supply_point,root,0,2025,40,SHA_N202617002
0,supply_point,root,0,2025,40,SHA_D202617001
0,supply_point,root,0,2025,41,SHA_D202617002
0,supply_point,root,0,2025,41,SHA_I202617001
0,supply_point,root,0,2025,41,SHA_I202617002
0,supply_point,root,0,2025,41,SHA_N202618001
0,supply_point,root,0,2025,41,SHA_N202618002
0,supply_point,root,0,2025,41,SHA_D202618001
0,supply_point,root,0,2025,42,SHA_D202618002
0,supply_point,root,0,2025,42,SHA_I202619001
0,supply_point,root,0,2025,42,SHA_I202619002
0,supply_point,root,0,2025,42,SHA_I202618001
0,supply_point,root,0,2025,42,SHA_I202618002
0,supply_point,root,0,2025,42,SHA_N202619001
0,supply_point,root,0,2025,43,SHA_N202619002
0,supply_point,root,0,2025,43,SHA_D202619001
0,supply_point,root,0,2025,43,SHA_D202619002
0,supply_point,root,0,2025,43,SHA_N202620001
0,supply_point,root,0,2025,43,SHA_N202620002
0,supply_point,root,0,2025,43,SHA_D202620001
0,supply_point,root,0,2025,44,SHA_D202620002
0,supply_point,root,0,2025,44,SHA_I202620001
0,supply_point,root,0,2025,44,SHA_I202620002
0,supply_point,root,0,2025,44,SHA_N202622001
0,supply_point,root,0,2025,44,SHA_N202622002
0,supply_point,root,0,2025,44,SHA_D202622001
0,supply_point,root,0,2025,45,SHA_D202622002
0,supply_point,root,0,2025,45,SHA_I202622001
0,supply_point,root,0,2025,45,SHA_I202622002
0,supply_point,root,0,2025,45,SHA_N202621001
0,supply_point,root,0,2025,45,SHA_N202621002
0,supply_point,root,0,2025,45,SHA_D202621001
0,supply_point,root,0,2025,46,SHA_D202621002
0,supply_point,root,0,2025,46,SHA_I202621001
0,supply_point,root,0,2025,46,SHA_I202621002
0,supply_point,root,0,2025,46,SHA_N202623001
0,supply_point,root,0,2025,46,SHA_N202623002
0,supply_point,root,0,2025,46,SHA_D202623001
0,supply_point,root,0,2025,47,SHA_D202623002
0,supply_point,root,0,2025,47,SHA_I202626001
0,supply_point,root,0,2025,47,SHA_I202626002
0,supply_point,root,0,2025,47,SHA_I202625001
0,supply_point,root,0,2025,47,SHA_I202625002
0,supply_point,root,0,2025,47,SHA_I202624001
0,supply_point,root,0,2025,48,SHA_I202624002
0,supply_point,root,0,2025,48,SHA_I202623001
0,supply_point,root,0,2025,48,SHA_I202623002
0,supply_point,root,0,2025,48,SHA_N202624001
0,supply_point,root,0,2025,48,SHA_N202624002
0,supply_point,root,0,2025,48,SHA_D202624001
0,supply_point,root,0,2025,49,SHA_D202624002
0,supply_point,root,0,2025,49,SHA_N202625001
0,supply_point,root,0,2025,49,SHA_N202625002
0,supply_point,root,0,2025,49,SHA_D202625001
0,supply_point,root,0,2025,49,SHA_D202625002
0,supply_point,root,0,2025,49,SHA_N202626001
0,supply_point,root,0,2025,50,SHA_N202626002
0,supply_point,root,0,2025,50,SHA_D202626001
0,supply_point,root,0,2025,50,SHA_D202626002
0,supply_point,root,0,2025,50,SHA_N202627001
0,supply_point,root,0,2025,50,SHA_N202627002
0,supply_point,root,0,2025,50,SHA_D202627001
0,supply_point,root,0,2025,51,SHA_D202627002
0,supply_point,root,0,2025,51,SHA_I202627001
0,supply_point,root,0,2025,51,SHA_I202627002
0,supply_point,root,0,2025,51,SHA_N202629001
0,supply_point,root,0,2025,51,SHA_N202629002
0,supply_point,root,0,2025,51,SHA_D202629001
0,supply_point,root,0,2025,52,SHA_D202629002
0,supply_point,root,0,2025,52,SHA_I202629001
0,supply_point,root,0,2025,52,SHA_I202629002
0,supply_point,root,0,2025,52,SHA_N202628001
0,supply_point,root,0,2025,52,SHA_N202628002
0,supply_point,root,0,2025,52,SHA_D202628001
0,supply_point,root,0,2025,53,SHA_D202628002
0,supply_point,root,0,2025,53,SHA_I202628001
0,supply_point,root,0,2025,53,SHA_I202628002
0,supply_point,root,0,2025,53,SHA_N202630001
0,supply_point,root,0,2025,53,SHA_N202630002
0,supply_point,root,0,2025,53,SHA_D202630001
0,supply_point,root,0,2026,1,SHA_D202630002
0,supply_point,root,0,2026,1,SHA_I202630001
0,supply_point,root,0,2026,1,SHA_I202630002
0,supply_point,root,0,2026,1,SHA_N202631001
0,supply_point,root,0,2026,1,SHA_N202631002
0,supply_point,root,0,2026,1,SHA_D202631001
0,supply_point,root,0,2026,2,SHA_D202631002
0,supply_point,root,0,2026,2,SHA_I202631001
0,supply_point,root,0,2026,2,SHA_I202631002
0,supply_point,root,0,2026,2,SHA_N202632001
0,supply_point,root,0,2026,2,SHA_N202632002
0,supply_point,root,0,2026,2,SHA_D202632001
0,supply_point,root,0,2026,3,SHA_D202632002
0,supply_point,root,0,2026,3,SHA_I202632001
0,supply_point,root,0,2026,3,SHA_I202632002
0,supply_point,root,0,2026,3,SHA_N202636001
0,supply_point,root,0,2026,3,SHA_N202636002
0,supply_point,root,0,2026,3,SHA_D202636001
0,supply_point,root,0,2026,4,SHA_D202636002
0,supply_point,root,0,2026,4,SHA_I202636001
0,supply_point,root,0,2026,4,SHA_I202636002
0,supply_point,root,0,2026,4,SHA_N202635001
0,supply_point,root,0,2026,4,SHA_N202635002
0,supply_point,root,0,2026,4,SHA_D202635001
0,supply_point,root,0,2026,5,SHA_D202635002
